trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason
905bc91c-8c10-401b-a8e8-b1d66802572e,2025-11-11 11:16:00-05:00,2025-11-11 11:16:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,618.6996044921875,621.8132025146484,621.8132025146484,609.4388104248047,121.0,0.0,0.02,-376.7453607177696,2000.0,-0.1883726803588848,2,-0.3767453607177696,-0.3767453607177696,loss,SL
e97112b9-3b00-494f-8ba0-c4e4be5265bf,2025-11-11 11:15:00-05:00,2025-11-11 11:15:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,618.7799877929688,621.8939877319335,621.8939877319335,609.5179879760744,121.0,0.0,0.02,-376.7939926147351,2000.0,-0.18839699630736753,2,-0.37679399261473506,-0.7535393533325047,loss,SL
7715fea5-f243-433d-a12e-aeffebf867aa,2025-11-11 11:17:00-05:00,2025-11-11 11:17:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,618.7350048828125,621.8487799072265,621.8487799072265,609.4736798095706,121.0,0.0,0.02,-376.7667779540867,2000.0,-0.18838338897704335,2,-0.3767667779540867,-1.1303061312865914,loss,SL
53316826-ccd2-4d41-90e6-dd8c91dc3d9a,2025-11-11 11:18:00-05:00,2025-11-11 11:18:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,618.9950146484375,622.1100897216796,622.1100897216796,609.7297894287111,121.0,0.0,0.02,-376.92408386229533,2000.0,-0.18846204193114766,2,-0.3769240838622953,-1.5072302151488868,loss,SL
4e0fe0d3-c73b-42cf-b2be-e06a225003b8,2025-11-11 11:26:00-05:00,2025-11-11 11:26:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,619.1900219726563,622.3060720825194,622.3060720825194,609.9218716430667,121.0,0.0,0.02,-377.0420632934449,2000.0,-0.18852103164672246,2,-0.3770420632934449,-1.8842722784423316,loss,SL
4782b23e-15e1-43fa-9e03-eeb7dbde19c6,2025-11-11 11:19:00-05:00,2025-11-11 11:19:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,619.4201245117188,622.5373251342772,622.5373251342772,610.1485226440433,121.0,0.0,0.02,-377.181275329575,2000.0,-0.18859063766478748,2,-0.37718127532957496,-2.2614535537719065,loss,SL
f4614e41-59d7-4086-8a35-369eb743dc21,2025-11-11 11:20:00-05:00,2025-11-11 11:20:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,619.469990234375,622.5874401855468,622.5874401855468,610.1976403808595,121.0,0.0,0.02,-377.2114440917886,2000.0,-0.18860572204589432,2,-0.37721144409178864,-2.638664997863695,loss,SL
2ccecebf-bc8c-4e68-aa85-9fcd07ab0aa2,2025-11-11 11:25:00-05:00,2025-11-11 11:25:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,619.5299877929688,622.6477377319335,622.6477377319335,610.2567379760745,121.0,0.0,0.02,-377.24774261473124,2000.0,-0.18862387130736563,2,-0.37724774261473126,-3.0159127404784263,loss,SL
9709b937-25ec-4e5c-bb96-c1d47d02d965,2025-11-11 11:21:00-05:00,2025-11-11 11:21:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,619.6399731445313,622.7582730102538,622.7582730102538,610.3650735473636,121.0,0.0,0.02,-377.3142837524249,2000.0,-0.18865714187621244,2,-0.3773142837524249,-3.393227024230851,loss,SL
233fde8e-6206-4149-b7d2-9852ad496b7a,2025-11-11 11:22:00-05:00,2025-11-11 11:22:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,619.7699780273438,622.8889279174804,622.8889279174804,610.4931283569339,121.0,0.0,0.02,-377.3929367065292,2000.0,-0.18869646835326462,2,-0.37739293670652924,-3.7706199609373803,loss,SL
a5157b29-7b2d-4fab-be69-0fa2ea5b33fb,2025-11-11 11:23:00-05:00,2025-11-11 11:23:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,620.1200146484375,623.2407147216796,623.2407147216796,610.8379144287111,120.0,0.0,0.02,-374.4840087890543,2000.0,-0.18724200439452715,2,-0.3744840087890543,-4.145103969726435,loss,SL
6a92ec49-b153-4810-a8cd-d29d4b5cb5dc,2025-11-11 11:24:00-05:00,2025-11-11 11:24:00-05:00,2025-11-11,2025-11,QQQ,News_Fade,SHORT,DAILY,A,620.00001953125,623.1201196289062,623.1201196289062,610.7197192382814,120.0,0.0,0.02,-374.41201171874127,2000.0,-0.18720600585937064,2,-0.3744120117187413,-4.519515981445176,loss,SL
